epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,696.897,0.32401,0.20163,0.79939,0.9131,0.83413,0.8706,0.72119,0.80565,0.5704,0.94867,0.000149383,0.000149383,0.000149383
62,708.033,0.32565,0.20848,0.79933,0.90742,0.84684,0.88623,0.73612,0.80023,0.53585,0.94476,0.000132474,0.000132474,0.000132474
63,719.647,0.33095,0.20568,0.8063,0.90108,0.84956,0.88146,0.73378,0.80198,0.54672,0.94875,0.000116599,0.000116599,0.000116599
64,730.694,0.32781,0.20199,0.80126,0.91042,0.85546,0.89903,0.7451,0.79882,0.49633,0.94927,0.000101785,0.000101785,0.000101785
65,741.486,0.32847,0.2011,0.80661,0.93347,0.83972,0.90124,0.74709,0.80348,0.507,0.95011,8.80588e-05,8.80588e-05,8.80588e-05
66,780.005,0.30846,0.19406,0.79906,0.92023,0.85703,0.89776,0.7427,0.80387,0.50374,0.95056,7.54441e-05,7.54441e-05,7.54441e-05
67,790.999,0.30829,0.19284,0.79328,0.90846,0.86464,0.9064,0.75215,0.80572,0.49337,0.95201,6.3963e-05,6.3963e-05,6.3963e-05
68,801.846,0.30716,0.19346,0.7889,0.92821,0.84125,0.90425,0.751,0.79781,0.49523,0.94971,5.36357e-05,5.36357e-05,5.36357e-05
69,812.783,0.30794,0.19283,0.79693,0.93123,0.83698,0.9022,0.7492,0.79905,0.49977,0.95061,4.44803e-05,4.44803e-05,4.44803e-05
70,823.639,0.31566,0.19756,0.79491,0.92298,0.84287,0.90063,0.74721,0.79928,0.50825,0.94942,3.65129e-05,3.65129e-05,3.65129e-05
71,834.732,0.30246,0.18988,0.79977,0.91622,0.85315,0.90209,0.74972,0.80034,0.50187,0.94985,2.97474e-05,2.97474e-05,2.97474e-05
72,845.679,0.29967,0.18856,0.79076,0.91246,0.85726,0.90365,0.75054,0.79741,0.50437,0.94843,2.41958e-05,2.41958e-05,2.41958e-05
73,856.571,0.2949,0.18904,0.79093,0.93717,0.83588,0.9028,0.75026,0.79796,0.50654,0.94819,1.98677e-05,1.98677e-05,1.98677e-05
74,867.532,0.30771,0.19238,0.79479,0.91153,0.85735,0.90396,0.75116,0.79763,0.50733,0.9473,1.67708e-05,1.67708e-05,1.67708e-05
75,878.324,0.2992,0.19017,0.80037,0.90354,0.86086,0.8994,0.74767,0.80037,0.522,0.94884,1.49105e-05,1.49105e-05,1.49105e-05
