epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1429.71,0.4387,0.2757,0.83054,0.93455,0.90033,0.93924,0.75914,0.88393,0.56372,0.99296,0.000248332,0.000248332,0.000248332
112,1441.76,0.43328,0.26128,0.83429,0.94082,0.9034,0.94081,0.7581,0.87807,0.53582,0.99132,0.000237427,0.000237427,0.000237427
113,1453.74,0.43756,0.25986,0.83109,0.94247,0.90118,0.93918,0.75919,0.88705,0.54441,0.99493,0.000226735,0.000226735,0.000226735
114,1466.15,0.42868,0.26226,0.83695,0.96234,0.90575,0.94358,0.75983,0.89894,0.53451,0.99542,0.000216259,0.000216259,0.000216259
115,1478.42,0.42925,0.2677,0.82567,0.97852,0.89744,0.94343,0.7586,0.88996,0.5053,0.99338,0.000206005,0.000206005,0.000206005
116,1490.5,0.41797,0.25627,0.83177,0.97701,0.89658,0.94125,0.75842,0.89118,0.49382,0.9942,0.000195978,0.000195978,0.000195978
117,1502.88,0.42111,0.2569,0.82933,0.97847,0.8862,0.93763,0.75757,0.89031,0.51061,0.99182,0.000186181,0.000186181,0.000186181
118,1515.4,0.4244,0.26067,0.82043,0.96588,0.88753,0.93819,0.75804,0.88097,0.51671,0.98868,0.000176619,0.000176619,0.000176619
119,1527.34,0.41456,0.25582,0.83256,0.92913,0.88723,0.92929,0.75072,0.88371,0.55402,0.98809,0.000167296,0.000167296,0.000167296
120,1539.88,0.42328,0.25458,0.8335,0.93656,0.90216,0.93584,0.75738,0.87762,0.54269,0.98719,0.000158216,0.000158216,0.000158216
121,1552.23,0.40929,0.25196,0.82802,0.94088,0.89145,0.93658,0.75931,0.87384,0.54076,0.98325,0.000149383,0.000149383,0.000149383
122,1564.58,0.42022,0.25838,0.82954,0.94993,0.88743,0.93432,0.75344,0.88285,0.53555,0.98807,0.000140801,0.000140801,0.000140801
123,1577.12,0.41364,0.25508,0.82968,0.95033,0.88998,0.93715,0.75803,0.88329,0.53592,0.98997,0.000132474,0.000132474,0.000132474
124,1589.52,0.41665,0.25595,0.83007,0.95767,0.88173,0.93821,0.76344,0.87534,0.5383,0.98486,0.000124405,0.000124405,0.000124405
125,1602.47,0.41097,0.25569,0.83516,0.95271,0.88612,0.938,0.76091,0.87148,0.53583,0.98333,0.000116599,0.000116599,0.000116599
126,1615.83,0.40938,0.25177,0.82556,0.94693,0.90099,0.94232,0.75989,0.89097,0.54631,0.99168,0.000109058,0.000109058,0.000109058
127,1628.16,0.40886,0.25067,0.83063,0.94844,0.89789,0.94169,0.76045,0.88256,0.55329,0.98984,0.000101785,0.000101785,0.000101785
128,1640.22,0.4034,0.24918,0.82522,0.94408,0.89502,0.93822,0.75562,0.89734,0.5624,0.99282,9.47845e-05,9.47845e-05,9.47845e-05
129,1652.14,0.41283,0.25569,0.83248,0.94293,0.8943,0.93945,0.75875,0.88751,0.56007,0.99051,8.80588e-05,8.80588e-05,8.80588e-05
130,1664.26,0.41719,0.2584,0.82906,0.9404,0.89389,0.94092,0.75645,0.89987,0.56991,0.99525,8.16111e-05,8.16111e-05,8.16111e-05
131,1676.68,0.40666,0.24995,0.82626,0.93386,0.89845,0.93999,0.75814,0.88805,0.56434,0.99257,7.54441e-05,7.54441e-05,7.54441e-05
132,1689.01,0.39205,0.24364,0.82487,0.93178,0.89233,0.93664,0.75391,0.89209,0.56819,0.99059,6.95605e-05,6.95605e-05,6.95605e-05
133,1701.35,0.39805,0.24408,0.82356,0.93606,0.89244,0.9376,0.75684,0.88236,0.546,0.98785,6.3963e-05,6.3963e-05,6.3963e-05
134,1713.32,0.4132,0.25506,0.82338,0.93718,0.89634,0.93756,0.75787,0.88296,0.54341,0.98668,5.86539e-05,5.86539e-05,5.86539e-05
135,1725.45,0.40254,0.25003,0.82998,0.94654,0.89863,0.93938,0.75899,0.88377,0.54218,0.98858,5.36357e-05,5.36357e-05,5.36357e-05
136,1737.45,0.39596,0.24164,0.82533,0.93964,0.90532,0.93979,0.75995,0.88327,0.53844,0.98934,4.89104e-05,4.89104e-05,4.89104e-05
137,1749.48,0.38795,0.24209,0.82227,0.93776,0.89633,0.93655,0.75943,0.88514,0.55588,0.988,4.44803e-05,4.44803e-05,4.44803e-05
138,1761.92,0.40052,0.24816,0.82683,0.94602,0.89197,0.94029,0.76139,0.88446,0.5491,0.98755,4.03471e-05,4.03471e-05,4.03471e-05
139,1775.49,0.39538,0.24813,0.83207,0.94467,0.89744,0.93981,0.76158,0.88807,0.55649,0.9896,3.65129e-05,3.65129e-05,3.65129e-05
140,1789.53,0.39549,0.24577,0.82779,0.92677,0.90271,0.93839,0.75797,0.89087,0.55756,0.99175,3.29791e-05,3.29791e-05,3.29791e-05
141,1827.96,0.36081,0.22193,0.80977,0.93715,0.90209,0.94122,0.75906,0.89179,0.54732,0.99187,2.97474e-05,2.97474e-05,2.97474e-05
142,1839.15,0.36479,0.22645,0.81746,0.95306,0.88755,0.94236,0.75938,0.88789,0.53995,0.99083,2.68192e-05,2.68192e-05,2.68192e-05
143,1850.42,0.35824,0.22706,0.81744,0.93759,0.89936,0.94188,0.76145,0.88675,0.54645,0.98958,2.41958e-05,2.41958e-05,2.41958e-05
144,1861.8,0.36133,0.22878,0.81849,0.93396,0.90257,0.94077,0.76048,0.88953,0.55048,0.99063,2.18783e-05,2.18783e-05,2.18783e-05
145,1872.78,0.36005,0.2278,0.81196,0.9421,0.89454,0.94103,0.76146,0.88803,0.55326,0.99026,1.98677e-05,1.98677e-05,1.98677e-05
146,1883.93,0.36336,0.227,0.81538,0.94476,0.89453,0.94047,0.75988,0.88865,0.55358,0.99042,1.8165e-05,1.8165e-05,1.8165e-05
147,1894.85,0.35912,0.2272,0.79773,0.94179,0.89233,0.94074,0.76016,0.8902,0.55237,0.99094,1.67708e-05,1.67708e-05,1.67708e-05
148,1905.85,0.35805,0.22483,0.81036,0.9423,0.8954,0.94123,0.76095,0.88866,0.55222,0.99012,1.56858e-05,1.56858e-05,1.56858e-05
149,1917.04,0.36864,0.22815,0.8108,0.93764,0.89971,0.94087,0.75862,0.88916,0.55575,0.99071,1.49105e-05,1.49105e-05,1.49105e-05
150,1928.49,0.35594,0.22274,0.81963,0.93945,0.89804,0.94076,0.75825,0.89086,0.55301,0.99054,1.44451e-05,1.44451e-05,1.44451e-05
